class,line
352,679
352,681
352,682
352,687
352,696
352,699
352,700
352,702
352,703
352,704
352,705
352,707
352,708
352,710
352,713
352,721
352,724
352,750
352,753
352,770
352,773
352,795
352,798
352,799
352,808
352,859
352,860
352,861
352,863
352,865
352,868
352,869
352,872
352,884
352,887
352,889
352,896
352,898
352,900
352,902
352,907
352,908
352,910
352,911
352,912
352,915
352,919
352,920
352,922
352,923
352,924
352,925
352,927
352,928
352,929
352,930
352,932
352,934
352,942
352,946
352,948
352,949
352,961
352,962
352,968
352,1011
352,1013
352,1015
352,1017
352,1018
352,1019
352,1020
352,1021
352,1023
352,1025
352,1026
352,1027
352,1029
352,1030
352,1031
352,1032
352,1033
352,1035
352,1037
352,1039
352,1041
352,1042
352,1043
378,69
378,71
378,75
378,76
378,77
378,78
378,90
378,91
378,92
378,93
378,102
378,104
378,106
378,119
378,130
378,131
378,132
378,133
378,139
378,149
378,150
378,151
378,153
378,165
378,166
378,167
378,172
378,173
378,174
378,175
378,176
378,177
378,178
378,180
378,181
378,182
378,195
378,196
378,199
378,200
378,203
378,204
378,208
378,209
378,230
378,235
378,236
378,237
378,238
378,242
378,243
378,245
378,249
378,250
378,255
378,256
378,258
378,261
378,262
378,265
378,266
378,278
378,279
378,281
378,282
378,284
378,294
378,296
378,299
378,306
378,311
378,313
378,314
378,319
378,320
378,321
378,322
378,323
378,325
378,326
378,330
378,331
378,332
378,333
378,335
378,337
378,339
378,342
378,343
378,353
378,354
378,356
378,370
378,371
378,372
378,374
378,383
378,384
378,385
378,386
378,387
378,391
378,392
378,393
378,394
378,408
378,409
378,411
378,427
378,428
378,429
378,432
378,438
378,439
378,441
378,442
378,444
378,445
378,447
378,448
378,449
378,450
378,451
378,452
378,453
378,454
378,455
378,456
378,457
378,460
378,461
378,476
378,514
378,516
378,519
378,520
378,521
378,522
378,523
378,525
378,526
378,527
378,528
378,529
378,530
378,531
378,532
378,533
378,534
378,535
378,536
378,537
378,538
378,544
378,545
378,546
378,547
378,549
378,565
378,566
378,567
378,569
378,570
378,571
378,572
378,573
378,574
378,577
378,578
378,579
378,580
378,584
378,612
378,613
378,616
378,618
378,619
378,620
378,622
378,627
378,628
378,631
378,632
378,633
378,636
378,638
378,640
378,642
378,643
378,650
378,668
378,670
378,671
378,672
378,673
378,674
378,675
378,677
378,678
378,681
378,684
378,695
378,696
378,699
378,704
378,707
378,709
378,710
378,711
378,712
378,714
378,715
378,716
378,717
378,719
378,723
378,724
378,725
378,728
378,730
378,732
378,733
378,734
378,735
378,736
378,737
378,739
378,741
378,742
378,743
378,744
378,745
378,747
378,748
378,749
378,750
378,752
378,755
378,761
378,763
378,765
378,766
378,767
378,769
378,770
378,774
378,775
378,779
378,785
378,786
378,789
378,790
378,793
378,794
378,795
378,796
89,45
89,46
89,47
89,51
89,60
89,66
89,67
89,68
89,91
89,92
89,101
89,103
89,104
89,105
89,106
89,109
89,115
89,117
89,121
89,125
89,126
381,50
381,51
381,52
381,53
350,1498
352,361
352,414
352,415
352,416
352,417
352,420
378,781
378,347
378,348
378,349
378,350
